😀	obraz, režanje, režeči obraz
🚶‍♀	dekle, hoja, peška, sprehod, ženska, ženska, ki hodi
🚶🏻‍♀	dekle, hoja, peška, sprehod, svetel ten kože, ženska, ženska, ki hodi, ženska, ki hodi: svetel ten kože
🚶🏼‍♀	dekle, hoja, peška, sprehod, srednje svetel ten kože, ženska, ženska, ki hodi, ženska, ki hodi: srednje svetel ten kože
🚶🏽‍♀	dekle, hoja, peška, sprehod, srednji ten kože, ženska, ženska, ki hodi, ženska, ki hodi: srednji ten kože
🚶🏾‍♀	dekle, hoja, peška, sprehod, srednje temen ten kože, ženska, ženska, ki hodi, ženska, ki hodi: srednje temen ten kože
🚶🏿‍♀	dekle, hoja, peška, sprehod, temen ten kože, ženska, ženska, ki hodi, ženska, ki hodi: temen ten kože
🧍	pokonci, stati, stoječa oseba
🧍🏻	pokonci, stati, stoječa oseba, stoječa oseba: svetel ten kože, svetel ten kože
🧍🏼	pokonci, srednje svetel ten kože, stati, stoječa oseba, stoječa oseba: srednje svetel ten kože
🧍🏽	pokonci, srednji ten kože, stati, stoječa oseba, stoječa oseba: srednji ten kože
🧍🏾	pokonci, srednje temen ten kože, stati, stoječa oseba, stoječa oseba: srednje temen ten kože
🧍🏿	pokonci, stati, stoječa oseba, stoječa oseba: temen ten kože, temen ten kože
🧍‍♂	moški, stoječ moški, stoji
🧍🏻‍♂	moški, stoječ moški, stoječ moški: svetel ten kože, stoji, svetel ten kože
🧍🏼‍♂	moški, srednje svetel ten kože, stoječ moški, stoječ moški: srednje svetel ten kože, stoji
🧍🏽‍♂	moški, srednji ten kože, stoječ moški, stoječ moški: srednji ten kože, stoji
🧍🏾‍♂	moški, srednje temen ten kože, stoječ moški, stoječ moški: srednje temen ten kože, stoji
🧍🏿‍♂	moški, stoječ moški, stoječ moški: temen ten kože, stoji, temen ten kože
🧍‍♀	stoječa ženska, stoji, ženska
🧍🏻‍♀	stoječa ženska, stoječa ženska: svetel ten kože, stoji, svetel ten kože, ženska
🧍🏼‍♀	srednje svetel ten kože, stoječa ženska, stoječa ženska: srednje svetel ten kože, stoji, ženska
🧍🏽‍♀	srednji ten kože, stoječa ženska, stoječa ženska: srednji ten kože, stoji, ženska
🧍🏾‍♀	srednje temen ten kože, stoječa ženska, stoječa ženska: srednje temen ten kože, stoji, ženska
🧍🏿‍♀	stoječa ženska, stoječa ženska: temen ten kože, stoji, temen ten kože, ženska
🧎	klečanje, klečeča oseba
🧎🏻	klečanje, klečeča oseba, klečeča oseba: svetel ten kože, svetel ten kože
🧎🏼	klečanje, klečeča oseba, klečeča oseba: srednje svetel ten kože, srednje svetel ten kože
🧎🏽	klečanje, klečeča oseba, klečeča oseba: srednji ten kože, srednji ten kože
🧎🏾	klečanje, klečeča oseba, klečeča oseba: srednje temen ten kože, srednje temen ten kože
🧎🏿	klečanje, klečeča oseba, klečeča oseba: temen ten kože, temen ten kože
🧎‍♂	klečanje, klečeč moški, moški
🧎🏻‍♂	klečanje, klečeč moški, klečeč moški: svetel ten kože, moški, svetel ten kože
🧎🏼‍♂	klečanje, klečeč moški, klečeč moški: srednje svetel ten kože, moški, srednje svetel ten kože
🧎🏽‍♂	klečanje, klečeč moški, klečeč moški: srednji ten kože, moški, srednji ten kože
🧎🏾‍♂	klečanje, klečeč moški, klečeč moški: srednje temen ten kože, moški, srednje temen ten kože
🧎🏿‍♂	klečanje, klečeč moški, klečeč moški: temen ten kože, moški, temen ten kože
🧎‍♀	klečanje, klečeča ženska, ženska
🧎🏻‍♀	klečanje, klečeča ženska, klečeča ženska: svetel ten kože, svetel ten kože, ženska
🧎🏼‍♀	klečanje, klečeča ženska, klečeča ženska: srednje svetel ten kože, srednje svetel ten kože, ženska
🧎🏽‍♀	klečanje, klečeča ženska, klečeča ženska: srednji ten kože, srednji ten kože, ženska
🧎🏾‍♀	klečanje, klečeča ženska, klečeča ženska: srednje temen ten kože, srednje temen ten kože, ženska
🧎🏿‍♀	klečanje, klečeča ženska, klečeča ženska: temen ten kože, temen ten kože, ženska
👨‍🦯	invalid, moški, moški s palico za slepe, slep
👨🏻‍🦯	invalid, moški, moški s palico za slepe, moški s palico za slepe: svetel ten kože, slep, svetel ten kože
👨🏼‍🦯	invalid, moški, moški s palico za slepe, moški s palico za slepe: srednje svetel ten kože, slep, srednje svetel ten kože
👨🏽‍🦯	invalid, moški, moški s palico za slepe, moški s palico za slepe: srednji ten kože, slep, srednji ten kože
👨🏾‍🦯	invalid, moški, moški s palico za slepe, moški s palico za slepe: srednje temen ten kože, slep, srednje temen ten kože
👨🏿‍🦯	invalid, moški, moški s palico za slepe, moški s palico za slepe: temen ten kože, slep, temen ten kože
👩‍🦯	invalid, slepa, ženska, ženska s palico za slepe
👩🏻‍🦯	invalid, slepa, svetel ten kože, ženska, ženska s palico za slepe, ženska s palico za slepe: svetel ten kože
👩🏼‍🦯	invalid, slepa, srednje svetel ten kože, ženska, ženska s palico za slepe, ženska s palico za slepe: srednje svetel ten kože
👩🏽‍🦯	invalid, slepa, srednji ten kože, ženska, ženska s palico za slepe, ženska s palico za slepe: srednji ten kože
👩🏾‍🦯	invalid, slepa, srednje temen ten kože, ženska, ženska s palico za slepe, ženska s palico za slepe: srednje temen ten kože
👩🏿‍🦯	invalid, slepa, temen ten kože, ženska, ženska s palico za slepe, ženska s palico za slepe: temen ten kože
👨‍🦼	invalid, moški, moški na motoriziranem invalidskem vozičku, voziček
👨🏻‍🦼	invalid, moški, moški na motoriziranem invalidskem vozičku, moški na motoriziranem invalidskem vozičku: svetel ten kože, svetel ten kože, voziček
👨🏼‍🦼	invalid, moški, moški na motoriziranem invalidskem vozičku, moški na motoriziranem invalidskem vozičku: srednje svetel ten kože, srednje svetel ten kože, voziček
👨🏽‍🦼	invalid, moški, moški na motoriziranem invalidskem vozičku, moški na motoriziranem invalidskem vozičku: srednji ten kože, srednji ten kože, voziček
👨🏾‍🦼	invalid, moški, moški na motoriziranem invalidskem vozičku, moški na motoriziranem invalidskem vozičku: srednje temen ten kože, srednje temen ten kože, voziček
👨🏿‍🦼	invalid, moški, moški na motoriziranem invalidskem vozičku, moški na motoriziranem invalidskem vozičku: temen ten kože, temen ten kože, voziček
👩‍🦼	invalid, voziček, ženska, ženska na motoriziranem invalidskem vozičku
👩🏻‍🦼	invalid, svetel ten kože, voziček, ženska, ženska na motoriziranem invalidskem vozičku, ženska na motoriziranem invalidskem vozičku: svetel ten kože
👩🏼‍🦼	invalid, srednje svetel ten kože, voziček, ženska, ženska na motoriziranem invalidskem vozičku, ženska na motoriziranem invalidskem vozičku: srednje svetel ten kože
👩🏽‍🦼	invalid, srednji ten kože, voziček, ženska, ženska na motoriziranem invalidskem vozičku, ženska na motoriziranem invalidskem vozičku: srednji ten kože
👩🏾‍🦼	invalid, srednje temen ten kože, voziček, ženska, ženska na motoriziranem invalidskem vozičku, ženska na motoriziranem invalidskem vozičku: srednje temen ten kože
👩🏿‍🦼	invalid, temen ten kože, voziček, ženska, ženska na motoriziranem invalidskem vozičku, ženska na motoriziranem invalidskem vozičku: temen ten kože
👨‍🦽	invalid, moški, moški na ročnem invalidskem vozičku, voziček
👨🏻‍🦽	invalid, moški, moški na ročnem invalidskem vozičku, moški na ročnem invalidskem vozičku: svetel ten kože, svetel ten kože, voziček
👨🏼‍🦽	invalid, moški, moški na ročnem invalidskem vozičku, moški na ročnem invalidskem vozičku: srednje svetel ten kože, srednje svetel ten kože, voziček
👨🏽‍🦽	invalid, moški, moški na ročnem invalidskem vozičku, moški na ročnem invalidskem vozičku: srednji ten kože, srednji ten kože, voziček
👨🏾‍🦽	invalid, moški, moški na ročnem invalidskem vozičku, moški na ročnem invalidskem vozičku: srednje temen ten kože, srednje temen ten kože, voziček
👨🏿‍🦽	invalid, moški, moški na ročnem invalidskem vozičku, moški na ročnem invalidskem vozičku: temen ten kože, temen ten kože, voziček
👩‍🦽	invalid, voziček, ženska, ženska na ročnem invalidskem vozičku
👩🏻‍🦽	invalid, svetel ten kože, voziček, ženska, ženska na ročnem invalidskem vozičku, ženska na ročnem invalidskem vozičku: svetel ten kože
👩🏼‍🦽	invalid, srednje svetel ten kože, voziček, ženska, ženska na ročnem invalidskem vozičku, ženska na ročnem invalidskem vozičku: srednje svetel ten kože
👩🏽‍🦽	invalid, srednji ten kože, voziček, ženska, ženska na ročnem invalidskem vozičku, ženska na ročnem invalidskem vozičku: srednji ten kože
👩🏾‍🦽	invalid, srednje temen ten kože, voziček, ženska, ženska na ročnem invalidskem vozičku, ženska na ročnem invalidskem vozičku: srednje temen ten kože
👩🏿‍🦽	invalid, temen ten kože, voziček, ženska, ženska na ročnem invalidskem vozičku, ženska na ročnem invalidskem vozičku: temen ten kože
🏃	maraton, tek, tekač
🏃🏻	maraton, svetel ten kože, tek, tekač, tekač: svetel ten kože
🏃🏼	maraton, srednje svetel ten kože, tek, tekač, tekač: srednje svetel ten kože
🏃🏽	maraton, srednji ten kože, tek, tekač, tekač: srednji ten kože
🏃🏾	maraton, srednje temen ten kože, tek, tekač, tekač: srednje temen ten kože
🏃🏿	maraton, tek, tekač, tekač: temen ten kože, temen ten kože
🏃‍♂	fant, maraton, moški, moški, ki teče, tek, tekač, tekma, šprint
🏃🏻‍♂	fant, maraton, moški, moški, ki teče, moški, ki teče: svetel ten kože, svetel ten kože, tek, tekač, tekma, šprint
🏃🏼‍♂	fant, maraton, moški, moški, ki teče, moški, ki teče: srednje svetel ten kože, srednje svetel ten kože, tek, tekač, tekma, šprint
🏃🏽‍♂	fant, maraton, moški, moški, ki teče, moški, ki teče: srednji ten kože, srednji ten kože, tek, tekač, tekma, šprint
🏃🏾‍♂	fant, maraton, moški, moški, ki teče, moški, ki teče: srednje temen ten kože, srednje temen ten kože, tek, tekač, tekma, šprint
🏃🏿‍♂	fant, maraton, moški, moški, ki teče, moški, ki teče: temen ten kože, tek, tekač, tekma, temen ten kože, šprint
🏃‍♀	dekle, maraton, tek, tekačica, tekma, šprint, ženska, ženska, ki teče
🏃🏻‍♀	dekle, maraton, svetel ten kože, tek, tekačica, tekma, šprint, ženska, ženska, ki teče, ženska, ki teče: svetel ten kože
🏃🏼‍♀	dekle, maraton, srednje svetel ten kože, tek, tekačica, tekma, šprint, ženska, ženska, ki teče, ženska, ki teče: srednje svetel ten kože
🏃🏽‍♀	dekle, maraton, srednji ten kože, tek, tekačica, tekma, šprint, ženska, ženska, ki teče, ženska, ki teče: srednji ten kože
🏃🏾‍♀	dekle, maraton, srednje temen ten kože, tek, tekačica, tekma, šprint, ženska, ženska, ki teče, ženska, ki teče: srednje temen ten kože
🏃🏿‍♀	dekle, maraton, tek, tekačica, tekma, temen ten kože, šprint, ženska, ženska, ki teče, ženska, ki teče: temen ten kože
💃	ples, plesalka, ženska, ženska, ki pleše
💃🏻	ples, plesalka, svetel ten kože, ženska, ženska, ki pleše, ženska, ki pleše: svetel ten kože
💃🏼	ples, plesalka, srednje svetel ten kože, ženska, ženska, ki pleše, ženska, ki pleše: srednje svetel ten kože
💃🏽	ples, plesalka, srednji ten kože, ženska, ženska, ki pleše, ženska, ki pleše: srednji ten kože
💃🏾	ples, plesalka, srednje temen ten kože, ženska, ženska, ki pleše, ženska, ki pleše: srednje temen ten kože
💃🏿	ples, plesalka, temen ten kože, ženska, ženska, ki pleše, ženska, ki pleše: temen ten kože
🕺	moški, ples, plesalec
🕺🏻	moški, ples, plesalec, plesalec: svetel ten kože, svetel ten kože
🕺🏼	moški, ples, plesalec, plesalec: srednje svetel ten kože, srednje svetel ten kože
🕺🏽	moški, ples, plesalec, plesalec: srednji ten kože, srednji ten kože
🕺🏾	moški, ples, plesalec, plesalec: srednje temen ten kože, srednje temen ten kože
🕺🏿	moški, ples, plesalec, plesalec: temen ten kože, temen ten kože
🕴️	moški, moški v poslovni obleki, ki lebdi, obleka, posli
🕴🏻	moški, moški v poslovni obleki, ki lebdi, moški v poslovni obleki, ki lebdi: svetel ten kože, obleka, posli, svetel ten kože
🕴🏼	moški, moški v poslovni obleki, ki lebdi, moški v poslovni obleki, ki lebdi: srednje svetel ten kože, obleka, posli, srednje svetel ten kože
🕴🏽	moški, moški v poslovni obleki, ki lebdi, moški v poslovni obleki, ki lebdi: srednji ten kože, obleka, posli, srednji ten kože
🕴🏾	moški, moški v poslovni obleki, ki lebdi, moški v poslovni obleki, ki lebdi: srednje temen ten kože, obleka, posli, srednje temen ten kože
🕴🏿	moški, moški v poslovni obleki, ki lebdi, moški v poslovni obleki, ki lebdi: temen ten kože, obleka, posli, temen ten kože
👯	dekle, plesalka, uho, zabava, zajčica, ženska, žur, žurerski ženski
👯‍♂	fantje, moška zabava, moški, plesalka, zabava, žur
👯‍♀	dekle, plesalec, zabava, ženska, ženska zabava, žur
🧖	oseba v parni savni
🧖🏻	oseba v parni savni, oseba v parni savni: svetel ten kože, svetel ten kože
🧖🏼	oseba v parni savni, oseba v parni savni: srednje svetel ten kože, srednje svetel ten kože
🧖🏽	oseba v parni savni, oseba v parni savni: srednji ten kože, srednji ten kože
🧖🏾	oseba v parni savni, oseba v parni savni: srednje temen ten kože, srednje temen ten kože
🧖🏿	oseba v parni savni, oseba v parni savni: temen ten kože, temen ten kože
🧖‍♂	moški v parni savni
🧖🏻‍♂	moški v parni savni, moški v parni savni: svetel ten kože, svetel ten kože
🧖🏼‍♂	moški v parni savni, moški v parni savni: srednje svetel ten kože, srednje svetel ten kože
🧖🏽‍♂	moški v parni savni, moški v parni savni: srednji ten kože, srednji ten kože
🧖🏾‍♂	moški v parni savni, moški v parni savni: srednje temen ten kože, srednje temen ten kože
🧖🏿‍♂	moški v parni savni, moški v parni savni: temen ten kože, temen ten kože
🧖‍♀	ženska v parni savni
🧖🏻‍♀	svetel ten kože, ženska v parni savni, ženska v parni savni: svetel ten kože
🧖🏼‍♀	srednje svetel ten kože, ženska v parni savni, ženska v parni savni: srednje svetel ten kože
🧖🏽‍♀	srednji ten kože, ženska v parni savni, ženska v parni savni: srednji ten kože
🧖🏾‍♀	srednje temen ten kože, ženska v parni savni, ženska v parni savni: srednje temen ten kože
🧖🏿‍♀	temen ten kože, ženska v parni savni, ženska v parni savni: temen ten kože
🧗	oseba, ki pleza
🧗🏻	oseba, ki pleza, oseba, ki pleza: svetel ten kože, svetel ten kože
🧗🏼	oseba, ki pleza, oseba, ki pleza: srednje svetel ten kože, srednje svetel ten kože
🧗🏽	oseba, ki pleza, oseba, ki pleza: srednji ten kože, srednji ten kože
🧗🏾	oseba, ki pleza, oseba, ki pleza: srednje temen ten kože, srednje temen ten kože
🧗🏿	oseba, ki pleza, oseba, ki pleza: temen ten kože, temen ten kože
🧗‍♂	plezalec
🧗🏻‍♂	plezalec, plezalec: svetel ten kože, svetel ten kože
🧗🏼‍♂	plezalec, plezalec: srednje svetel ten kože, srednje svetel ten kože
🧗🏽‍♂	plezalec, plezalec: srednji ten kože, srednji ten kože
🧗🏾‍♂	plezalec, plezalec: srednje temen ten kože, srednje temen ten kože
🧗🏿‍♂	plezalec, plezalec: temen ten kože, temen ten kože
🧗‍♀	plezalka
🧗🏻‍♀	plezalka, plezalka: svetel ten kože, svetel ten kože
🧗🏼‍♀	plezalka, plezalka: srednje svetel ten kože, srednje svetel ten kože
🧗🏽‍♀	plezalka, plezalka: srednji ten kože, srednji ten kože
🧗🏾‍♀	plezalka, plezalka: srednje temen ten kože, srednje temen ten kože
🧗🏿‍♀	plezalka, plezalka: temen ten kože, temen ten kože
🤺	meč, sabljanje, sabljač, šport
🏇	dirkalni konj, dirkanje, džokej, konj, konjske dirke
🏇🏻	dirkalni konj, dirkanje, džokej, konj, konjske dirke, konjske dirke: svetel ten kože, svetel ten kože
🏇🏼	dirkalni konj, dirkanje, džokej, konj, konjske dirke, konjske dirke: srednje svetel ten kože, srednje svetel ten kože
🏇🏽	dirkalni konj, dirkanje, džokej, konj, konjske dirke, konjske dirke: srednji ten kože, srednji ten kože
🏇🏾	dirkalni konj, dirkanje, džokej, konj, konjske dirke, konjske dirke: srednje temen ten kože, srednje temen ten kože
🏇🏿	dirkalni konj, dirkanje, džokej, konj, konjske dirke, konjske dirke: temen ten kože, temen ten kože
⛷️	smučar, smučati, sneg
🏂️	deskar na snegu, smučati, sneg, snežna deska
🏂🏻	deskar na snegu, deskar na snegu: svetel ten kože, smučati, sneg, snežna deska, svetel ten kože
🏂🏼	deskar na snegu, deskar na snegu: srednje svetel ten kože, smučati, sneg, snežna deska, srednje svetel ten kože
🏂🏽	deskar na snegu, deskar na snegu: srednji ten kože, smučati, sneg, snežna deska, srednji ten kože
🏂🏾	deskar na snegu, deskar na snegu: srednje temen ten kože, smučati, sneg, snežna deska, srednje temen ten kože
🏂🏿	deskar na snegu, deskar na snegu: temen ten kože, smučati, sneg, snežna deska, temen ten kože
🏌️	golf, igralec golfa, žogica
🏌🏻	golf, igralec golfa, igralec golfa: svetel ten kože, svetel ten kože, žogica
🏌🏼	golf, igralec golfa, igralec golfa: srednje svetel ten kože, srednje svetel ten kože, žogica
🏌🏽	golf, igralec golfa, igralec golfa: srednji ten kože, srednji ten kože, žogica
🏌🏾	golf, igralec golfa, igralec golfa: srednje temen ten kože, srednje temen ten kože, žogica
🏌🏿	golf, igralec golfa, igralec golfa: temen ten kože, temen ten kože, žogica
🏌‍♂	fant, golf, golfist, moški
🏌🏻‍♂	fant, golf, golfist, golfist: svetel ten kože, moški, svetel ten kože
🏌🏼‍♂	fant, golf, golfist, golfist: srednje svetel ten kože, moški, srednje svetel ten kože
🏌🏽‍♂	fant, golf, golfist, golfist: srednji ten kože, moški, srednji ten kože
🏌🏾‍♂	fant, golf, golfist, golfist: srednje temen ten kože, moški, srednje temen ten kože
🏌🏿‍♂	fant, golf, golfist, golfist: temen ten kože, moški, temen ten kože
🏌‍♀	dekle, golf, golfistka, ženska
🏌🏻‍♀	dekle, golf, golfistka, golfistka: svetel ten kože, svetel ten kože, ženska
🏌🏼‍♀	dekle, golf, golfistka, golfistka: srednje svetel ten kože, srednje svetel ten kože, ženska
🏌🏽‍♀	dekle, golf, golfistka, golfistka: srednji ten kože, srednji ten kože, ženska
🏌🏾‍♀	dekle, golf, golfistka, golfistka: srednje temen ten kože, srednje temen ten kože, ženska
🏌🏿‍♀	dekle, golf, golfistka, golfistka: temen ten kože, temen ten kože, ženska
🏄️	deskanje, oseba deska
🏄🏻	deskanje, oseba deska, oseba deska: svetel ten kože, svetel ten kože
🏄🏼	deskanje, oseba deska, oseba deska: srednje svetel ten kože, srednje svetel ten kože
🏄🏽	deskanje, oseba deska, oseba deska: srednji ten kože, srednji ten kože
🏄🏾	deskanje, oseba deska, oseba deska: srednje temen ten kože, srednje temen ten kože
🏄🏿	deskanje, oseba deska, oseba deska: temen ten kože, temen ten kože
🏄‍♂	deskanje, deskar, fant, moški, surfanje
🏄🏻‍♂	deskanje, deskar, deskar: svetel ten kože, fant, moški, surfanje, svetel ten kože
🏄🏼‍♂	deskanje, deskar, deskar: srednje svetel ten kože, fant, moški, srednje svetel ten kože, surfanje
🏄🏽‍♂	deskanje, deskar, deskar: srednji ten kože, fant, moški, srednji ten kože, surfanje
🏄🏾‍♂	deskanje, deskar, deskar: srednje temen ten kože, fant, moški, srednje temen ten kože, surfanje
🏄🏿‍♂	deskanje, deskar, deskar: temen ten kože, fant, moški, surfanje, temen ten kože
🏄‍♀	dekle, deskanje, deskarka, surfanje, ženska
🏄🏻‍♀	dekle, deskanje, deskarka, deskarka: svetel ten kože, surfanje, svetel ten kože, ženska
🏄🏼‍♀	dekle, deskanje, deskarka, deskarka: srednje svetel ten kože, srednje svetel ten kože, surfanje, ženska
🏄🏽‍♀	dekle, deskanje, deskarka, deskarka: srednji ten kože, srednji ten kože, surfanje, ženska
🏄🏾‍♀	dekle, deskanje, deskarka, deskarka: srednje temen ten kože, srednje temen ten kože, surfanje, ženska
🏄🏿‍♀	dekle, deskanje, deskarka, deskarka: temen ten kože, surfanje, temen ten kože, ženska
🚣	oseba v čolnu na vesla, vozilo, čoln
🚣🏻	oseba v čolnu na vesla, oseba v čolnu na vesla: svetel ten kože, svetel ten kože, vozilo, čoln
🚣🏼	oseba v čolnu na vesla, oseba v čolnu na vesla: srednje svetel ten kože, srednje svetel ten kože, vozilo, čoln
🚣🏽	oseba v čolnu na vesla, oseba v čolnu na vesla: srednji ten kože, srednji ten kože, vozilo, čoln
🚣🏾	oseba v čolnu na vesla, oseba v čolnu na vesla: srednje temen ten kože, srednje temen ten kože, vozilo, čoln
🚣🏿	oseba v čolnu na vesla, oseba v čolnu na vesla: temen ten kože, temen ten kože, vozilo, čoln
🚣‍♂	fant, moški, veslanje, veslač, čoln na vesla
🚣🏻‍♂	fant, moški, svetel ten kože, veslanje, veslač, veslač: svetel ten kože, čoln na vesla
🚣🏼‍♂	fant, moški, srednje svetel ten kože, veslanje, veslač, veslač: srednje svetel ten kože, čoln na vesla
🚣🏽‍♂	fant, moški, srednji ten kože, veslanje, veslač, veslač: srednji ten kože, čoln na vesla
🚣🏾‍♂	fant, moški, srednje temen ten kože, veslanje, veslač, veslač: srednje temen ten kože, čoln na vesla
🚣🏿‍♂	fant, moški, temen ten kože, veslanje, veslač, veslač: temen ten kože, čoln na vesla
🚣‍♀	dekle, veslanje, veslačica, čoln na vesla, ženska
🚣🏻‍♀	dekle, svetel ten kože, veslanje, veslačica, veslačica: svetel ten kože, čoln na vesla, ženska
🚣🏼‍♀	dekle, srednje svetel ten kože, veslanje, veslačica, veslačica: srednje svetel ten kože, čoln na vesla, ženska
🚣🏽‍♀	dekle, srednji ten kože, veslanje, veslačica, veslačica: srednji ten kože, čoln na vesla, ženska
🚣🏾‍♀	dekle, srednje temen ten kože, veslanje, veslačica, veslačica: srednje temen ten kože, čoln na vesla, ženska
🚣🏿‍♀	dekle, temen ten kože, veslanje, veslačica, veslačica: temen ten kože, čoln na vesla, ženska
🏊️	oseba plava, plavati
🏊🏻	oseba plava, oseba plava: svetel ten kože, plavati, svetel ten kože
🏊🏼	oseba plava, oseba plava: srednje svetel ten kože, plavati, srednje svetel ten kože
🏊🏽	oseba plava, oseba plava: srednji ten kože, plavati, srednji ten kože
🏊🏾	oseba plava, oseba plava: srednje temen ten kože, plavati, srednje temen ten kože
🏊🏿	oseba plava, oseba plava: temen ten kože, plavati, temen ten kože
🏊‍♂	fant, moški, plavalec, plavanje
🏊🏻‍♂	fant, moški, plavalec, plavalec: svetel ten kože, plavanje, svetel ten kože
🏊🏼‍♂	fant, moški, plavalec, plavalec: srednje svetel ten kože, plavanje, srednje svetel ten kože
🏊🏽‍♂	fant, moški, plavalec, plavalec: srednji ten kože, plavanje, srednji ten kože
🏊🏾‍♂	fant, moški, plavalec, plavalec: srednje temen ten kože, plavanje, srednje temen ten kože
🏊🏿‍♂	fant, moški, plavalec, plavalec: temen ten kože, plavanje, temen ten kože
🏊‍♀	dekle, plavalka, plavanje, ženska
🏊🏻‍♀	dekle, plavalka, plavalka: svetel ten kože, plavanje, svetel ten kože, ženska
🏊🏼‍♀	dekle, plavalka, plavalka: srednje svetel ten kože, plavanje, srednje svetel ten kože, ženska
🏊🏽‍♀	dekle, plavalka, plavalka: srednji ten kože, plavanje, srednji ten kože, ženska
🏊🏾‍♀	dekle, plavalka, plavalka: srednje temen ten kože, plavanje, srednje temen ten kože, ženska
🏊🏿‍♀	dekle, plavalka, plavalka: temen ten kože, plavanje, temen ten kože, ženska
⛹️	oseba z žogo, žoga
⛹🏻	oseba z žogo, oseba z žogo: svetel ten kože, svetel ten kože, žoga
⛹🏼	oseba z žogo, oseba z žogo: srednje svetel ten kože, srednje svetel ten kože, žoga
⛹🏽	oseba z žogo, oseba z žogo: srednji ten kože, srednji ten kože, žoga
⛹🏾	oseba z žogo, oseba z žogo: srednje temen ten kože, srednje temen ten kože, žoga
⛹🏿	oseba z žogo, oseba z žogo: temen ten kože, temen ten kože, žoga
⛹‍♂	fant, moški, moški z žogo, žoga
⛹🏻‍♂	fant, moški, moški z žogo, moški z žogo: svetel ten kože, svetel ten kože, žoga
⛹🏼‍♂	fant, moški, moški z žogo, moški z žogo: srednje svetel ten kože, srednje svetel ten kože, žoga
⛹🏽‍♂	fant, moški, moški z žogo, moški z žogo: srednji ten kože, srednji ten kože, žoga
⛹🏾‍♂	fant, moški, moški z žogo, moški z žogo: srednje temen ten kože, srednje temen ten kože, žoga
⛹🏿‍♂	fant, moški, moški z žogo, moški z žogo: temen ten kože, temen ten kože, žoga
⛹‍♀	dekle, ženska, ženska z žogo, žoga
⛹🏻‍♀	dekle, svetel ten kože, ženska, ženska z žogo, ženska z žogo: svetel ten kože, žoga
⛹🏼‍♀	dekle, srednje svetel ten kože, ženska, ženska z žogo, ženska z žogo: srednje svetel ten kože, žoga
⛹🏽‍♀	dekle, srednji ten kože, ženska, ženska z žogo, ženska z žogo: srednji ten kože, žoga
⛹🏾‍♀	dekle, srednje temen ten kože, ženska, ženska z žogo, ženska z žogo: srednje temen ten kože, žoga
⛹🏿‍♀	dekle, temen ten kože, ženska, ženska z žogo, ženska z žogo: temen ten kože, žoga
🏋️	dvigalec, oseba dviga uteži, utež
🏋🏻	dvigalec, oseba dviga uteži, oseba dviga uteži: svetel ten kože, svetel ten kože, utež
🏋🏼	dvigalec, oseba dviga uteži, oseba dviga uteži: srednje svetel ten kože, srednje svetel ten kože, utež
🏋🏽	dvigalec, oseba dviga uteži, oseba dviga uteži: srednji ten kože, srednji ten kože, utež
🏋🏾	dvigalec, oseba dviga uteži, oseba dviga uteži: srednje temen ten kože, srednje temen ten kože, utež
🏋🏿	dvigalec, oseba dviga uteži, oseba dviga uteži: temen ten kože, temen ten kože, utež
🏋‍♂	dvigovalec uteži, fant, moški
🏋🏻‍♂	dvigovalec uteži, dvigovalec uteži: svetel ten kože, fant, moški, svetel ten kože
🏋🏼‍♂	dvigovalec uteži, dvigovalec uteži: srednje svetel ten kože, fant, moški, srednje svetel ten kože
🏋🏽‍♂	dvigovalec uteži, dvigovalec uteži: srednji ten kože, fant, moški, srednji ten kože
🏋🏾‍♂	dvigovalec uteži, dvigovalec uteži: srednje temen ten kože, fant, moški, srednje temen ten kože
🏋🏿‍♂	dvigovalec uteži, dvigovalec uteži: temen ten kože, fant, moški, temen ten kože
🏋‍♀	dekle, dvigovalka uteži, ženska
🏋🏻‍♀	dekle, dvigovalka uteži, dvigovalka uteži: svetel ten kože, svetel ten kože, ženska
🏋🏼‍♀	dekle, dvigovalka uteži, dvigovalka uteži: srednje svetel ten kože, srednje svetel ten kože, ženska
🏋🏽‍♀	dekle, dvigovalka uteži, dvigovalka uteži: srednji ten kože, srednji ten kože, ženska
🏋🏾‍♀	dekle, dvigovalka uteži, dvigovalka uteži: srednje temen ten kože, srednje temen ten kože, ženska
🏋🏿‍♀	dekle, dvigovalka uteži, dvigovalka uteži: temen ten kože, temen ten kože, ženska
🚴	kolo, oseba na kolesu
🚴🏻	kolo, oseba na kolesu, oseba na kolesu: svetel ten kože, svetel ten kože
🚴🏼	kolo, oseba na kolesu, oseba na kolesu: srednje svetel ten kože, srednje svetel ten kože
🚴🏽	kolo, oseba na kolesu, oseba na kolesu: srednji ten kože, srednji ten kože
🚴🏾	kolo, oseba na kolesu, oseba na kolesu: srednje temen ten kože, srednje temen ten kože
🚴🏿	kolo, oseba na kolesu, oseba na kolesu: temen ten kože, temen ten kože
🚴‍♂	fant, kolesar, kolesarjenje, kolo, moški
🚴🏻‍♂	fant, kolesar, kolesar: svetel ten kože, kolesarjenje, kolo, moški, svetel ten kože
🚴🏼‍♂	fant, kolesar, kolesar: srednje svetel ten kože, kolesarjenje, kolo, moški, srednje svetel ten kože
🚴🏽‍♂	fant, kolesar, kolesar: srednji ten kože, kolesarjenje, kolo, moški, srednji ten kože
