😀	ಮುಖ, ಹಾಸ್ಯ, ಹಾಸ್ಯದ ಮುಖ
🏃🏾‍♂	ಓಡುತ್ತಿರುವ ಪುರುಷ, ಓಡುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಓಡುವುದು, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮನುಷ್ಯ, ಮ್ಯಾರಥಾನ್, ರೇಸಿಂಗ್, ವ್ಯಕ್ತಿ
🏃🏿‍♂	ಓಡುತ್ತಿರುವ ಪುರುಷ, ಓಡುತ್ತಿರುವ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಓಡುವುದು, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮನುಷ್ಯ, ಮ್ಯಾರಥಾನ್, ರೇಸಿಂಗ್, ವ್ಯಕ್ತಿ
🏃‍♀	ಓಡುತ್ತಿರುವ ಸ್ತ್ರೀ, ಓಡುವುದು, ಮಹಿಳೆ, ಮ್ಯಾರಥಾನ್, ರೇಸಿಂಗ್, ಸ್ತ್ರೀ
🏃🏻‍♀	ಓಡುತ್ತಿರುವ ಸ್ತ್ರೀ, ಓಡುತ್ತಿರುವ ಸ್ತ್ರೀ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಓಡುವುದು, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಮ್ಯಾರಥಾನ್, ರೇಸಿಂಗ್, ಸ್ತ್ರೀ
🏃🏼‍♀	ಓಡುತ್ತಿರುವ ಸ್ತ್ರೀ, ಓಡುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಓಡುವುದು, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಮ್ಯಾರಥಾನ್, ರೇಸಿಂಗ್, ಸ್ತ್ರೀ
🏃🏽‍♀	ಓಡುತ್ತಿರುವ ಸ್ತ್ರೀ, ಓಡುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಓಡುವುದು, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಮ್ಯಾರಥಾನ್, ರೇಸಿಂಗ್, ಸ್ತ್ರೀ
🏃🏾‍♀	ಓಡುತ್ತಿರುವ ಸ್ತ್ರೀ, ಓಡುತ್ತಿರುವ ಸ್ತ್ರೀ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಓಡುವುದು, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಮ್ಯಾರಥಾನ್, ರೇಸಿಂಗ್, ಸ್ತ್ರೀ
🏃🏿‍♀	ಓಡುತ್ತಿರುವ ಸ್ತ್ರೀ, ಓಡುತ್ತಿರುವ ಸ್ತ್ರೀ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಓಡುವುದು, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ, ಮ್ಯಾರಥಾನ್, ರೇಸಿಂಗ್, ಸ್ತ್ರೀ
💃	ನರ್ತಕರು, ನರ್ತಿಸುತ್ತಿರುವ ಮಹಿಳೆ, ನೃತ್ಯ, ಮಹಿಳೆ
💃🏻	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ನರ್ತಕರು, ನರ್ತಿಸುತ್ತಿರುವ ಮಹಿಳೆ, ನರ್ತಿಸುತ್ತಿರುವ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ನೃತ್ಯ, ಮಹಿಳೆ
💃🏼	ನರ್ತಕರು, ನರ್ತಿಸುತ್ತಿರುವ ಮಹಿಳೆ, ನರ್ತಿಸುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ನೃತ್ಯ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ
💃🏽	ನರ್ತಕರು, ನರ್ತಿಸುತ್ತಿರುವ ಮಹಿಳೆ, ನರ್ತಿಸುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ನೃತ್ಯ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ
💃🏾	ನರ್ತಕರು, ನರ್ತಿಸುತ್ತಿರುವ ಮಹಿಳೆ, ನರ್ತಿಸುತ್ತಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ನೃತ್ಯ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ
💃🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ನರ್ತಕರು, ನರ್ತಿಸುತ್ತಿರುವ ಮಹಿಳೆ, ನರ್ತಿಸುತ್ತಿರುವ ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ನೃತ್ಯ, ಮಹಿಳೆ
🕺	ನರ್ತಿಸುತ್ತಿರುವ ಪುರುಷ, ನೃತ್ಯ, ನೃತ್ಯಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ವ್ಯಕ್ತಿ
🕺🏻	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ನರ್ತಿಸುತ್ತಿರುವ ಪುರುಷ, ನರ್ತಿಸುತ್ತಿರುವ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ನೃತ್ಯ, ನೃತ್ಯಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ವ್ಯಕ್ತಿ
🕺🏼	ನರ್ತಿಸುತ್ತಿರುವ ಪುರುಷ, ನರ್ತಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ನೃತ್ಯ, ನೃತ್ಯಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ
🕺🏽	ನರ್ತಿಸುತ್ತಿರುವ ಪುರುಷ, ನರ್ತಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ನೃತ್ಯ, ನೃತ್ಯಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ
🕺🏾	ನರ್ತಿಸುತ್ತಿರುವ ಪುರುಷ, ನರ್ತಿಸುತ್ತಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ನೃತ್ಯ, ನೃತ್ಯಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ
🕺🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ನರ್ತಿಸುತ್ತಿರುವ ಪುರುಷ, ನರ್ತಿಸುತ್ತಿರುವ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ನೃತ್ಯ, ನೃತ್ಯಿಸುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ವ್ಯಕ್ತಿ
🕴️	ಬಿಸಿನೆಸ್ ಸೂಟ್ನಲ್ಲಿ ತೇಲುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಬಿಸಿನೆಸ್ ಸೂಟ್‌ನಲ್ಲಿರುವ ವ್ಯಕ್ತಿ ತೇಲುತ್ತಿರುವಂತೆ, ವ್ಯಕ್ತಿ, ವ್ಯಾಪಾರ
🕴🏻	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಸಿನೆಸ್ ಸೂಟ್ನಲ್ಲಿ ತೇಲುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಬಿಸಿನೆಸ್ ಸೂಟ್ನಲ್ಲಿ ತೇಲುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಸಿನೆಸ್ ಸೂಟ್‌ನಲ್ಲಿರುವ ವ್ಯಕ್ತಿ ತೇಲುತ್ತಿರುವಂತೆ, ವ್ಯಕ್ತಿ, ವ್ಯಾಪಾರ
🕴🏼	ಬಿಸಿನೆಸ್ ಸೂಟ್ನಲ್ಲಿ ತೇಲುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಬಿಸಿನೆಸ್ ಸೂಟ್ನಲ್ಲಿ ತೇಲುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಸಿನೆಸ್ ಸೂಟ್‌ನಲ್ಲಿರುವ ವ್ಯಕ್ತಿ ತೇಲುತ್ತಿರುವಂತೆ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ, ವ್ಯಾಪಾರ
🕴🏽	ಬಿಸಿನೆಸ್ ಸೂಟ್ನಲ್ಲಿ ತೇಲುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಬಿಸಿನೆಸ್ ಸೂಟ್ನಲ್ಲಿ ತೇಲುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಸಿನೆಸ್ ಸೂಟ್‌ನಲ್ಲಿರುವ ವ್ಯಕ್ತಿ ತೇಲುತ್ತಿರುವಂತೆ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ, ವ್ಯಾಪಾರ
🕴🏾	ಬಿಸಿನೆಸ್ ಸೂಟ್ನಲ್ಲಿ ತೇಲುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಬಿಸಿನೆಸ್ ಸೂಟ್ನಲ್ಲಿ ತೇಲುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಸಿನೆಸ್ ಸೂಟ್‌ನಲ್ಲಿರುವ ವ್ಯಕ್ತಿ ತೇಲುತ್ತಿರುವಂತೆ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ವ್ಯಕ್ತಿ, ವ್ಯಾಪಾರ
🕴🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಸಿನೆಸ್ ಸೂಟ್ನಲ್ಲಿ ತೇಲುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಬಿಸಿನೆಸ್ ಸೂಟ್ನಲ್ಲಿ ತೇಲುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಬಿಸಿನೆಸ್ ಸೂಟ್‌ನಲ್ಲಿರುವ ವ್ಯಕ್ತಿ ತೇಲುತ್ತಿರುವಂತೆ, ವ್ಯಕ್ತಿ, ವ್ಯಾಪಾರ
👯	ನರ್ತಕಿ, ಪಾರ್ಟಿಯಲ್ಲಿನ ಮಹಿಳೆ, ಬನ್ನಿ ಕಿವಿ, ಬನ್ನಿ ಕಿವಿಗಳನ್ನು ಹೊಂದಿರುವ ಜನರು
👯‍♂	ನರ್ತಕ, ಪಾರ್ಟಿಗಳು, ಪಾರ್ಟಿಯಲ್ಲಿನ ಪುರುಷರು, ಪುರುಷ, ಮೊಲದ ಕಿವಿ
👯‍♀	ನರ್ತಕಿ, ಪಾರ್ಟಿಗಳು, ಪಾರ್ಟಿಯಲ್ಲಿನ ಸ್ತ್ರೀಯರು, ಮಹಿಳೆಯರು, ಮೊಲದ ಕಿವಿ
🧖	ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ
🧖🏻	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧖🏼	ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧖🏽	ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🧖🏾	ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧖🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧖‍♂	ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ಪುರುಷ
🧖🏻‍♂	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ಪುರುಷ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧖🏼‍♂	ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ಪುರುಷ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧖🏽‍♂	ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ಪುರುಷ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🧖🏾‍♂	ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ಪುರುಷ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧖🏿‍♂	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ಪುರುಷ, ಹಬೆಯ ಕೋಣೆಯಲ್ಲಿರುವ ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧖‍♀	ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆ ಕೋಣೆಯಲ್ಲಿರುವ ಮಹಿಳೆ
🧖🏻‍♀	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆ ಕೋಣೆಯಲ್ಲಿರುವ ಮಹಿಳೆ, ಹಬೆ ಕೋಣೆಯಲ್ಲಿರುವ ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧖🏼‍♀	ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆ ಕೋಣೆಯಲ್ಲಿರುವ ಮಹಿಳೆ, ಹಬೆ ಕೋಣೆಯಲ್ಲಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
🧖🏽‍♀	ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆ ಕೋಣೆಯಲ್ಲಿರುವ ಮಹಿಳೆ, ಹಬೆ ಕೋಣೆಯಲ್ಲಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
🧖🏾‍♀	ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆ ಕೋಣೆಯಲ್ಲಿರುವ ಮಹಿಳೆ, ಹಬೆ ಕೋಣೆಯಲ್ಲಿರುವ ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧖🏿‍♀	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಸೌನಾ, ಹಬೆ ಕೋಣೆ, ಹಬೆ ಕೋಣೆಯಲ್ಲಿರುವ ಮಹಿಳೆ, ಹಬೆ ಕೋಣೆಯಲ್ಲಿರುವ ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧗	ಹತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಹತ್ತುವವರು
🧗🏻	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಹತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವವರು
🧗🏼	ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಹತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವವರು
🧗🏽	ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಹತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವವರು
🧗🏾	ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಹತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವವರು
🧗🏿	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ, ಹತ್ತುತ್ತಿರುವ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವವರು
🧗‍♂	ಹತ್ತುವ ವ್ಯಕ್ತಿ, ಹತ್ತುವವರು
🧗🏻‍♂	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವ ವ್ಯಕ್ತಿ, ಹತ್ತುವ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವವರು
🧗🏼‍♂	ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವ ವ್ಯಕ್ತಿ, ಹತ್ತುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವವರು
🧗🏽‍♂	ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವ ವ್ಯಕ್ತಿ, ಹತ್ತುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವವರು
🧗🏾‍♂	ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವ ವ್ಯಕ್ತಿ, ಹತ್ತುವ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವವರು
🧗🏿‍♂	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವ ವ್ಯಕ್ತಿ, ಹತ್ತುವ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವವರು
🧗‍♀	ಮಹಿಳೆ ಹತ್ತುತ್ತಿರುವುದು, ಹತ್ತುವವರು
🧗🏻‍♀	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ ಹತ್ತುತ್ತಿರುವುದು, ಮಹಿಳೆ ಹತ್ತುತ್ತಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವವರು
🧗🏼‍♀	ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ ಹತ್ತುತ್ತಿರುವುದು, ಮಹಿಳೆ ಹತ್ತುತ್ತಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವವರು
🧗🏽‍♀	ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ ಹತ್ತುತ್ತಿರುವುದು, ಮಹಿಳೆ ಹತ್ತುತ್ತಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವವರು
🧗🏾‍♀	ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ ಹತ್ತುತ್ತಿರುವುದು, ಮಹಿಳೆ ಹತ್ತುತ್ತಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವವರು
🧗🏿‍♀	ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಹಿಳೆ ಹತ್ತುತ್ತಿರುವುದು, ಮಹಿಳೆ ಹತ್ತುತ್ತಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಹತ್ತುವವರು
🤺	ಖಡ್ಗ, ಖಡ್ಗವಿದ್ಯಾಪಟು, ಖಡ್ಗವಿದ್ಯೆ
🏇	ಕುದುರೆ ರೇಸಿಂಗ್, ಜಾಕಿ, ರೇಸಿಂಗ್, ರೇಸಿಂಗ್ ಕುದುರೆ
🏇🏻	ಕುದುರೆ ರೇಸಿಂಗ್, ಕುದುರೆ ರೇಸಿಂಗ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಜಾಕಿ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ರೇಸಿಂಗ್, ರೇಸಿಂಗ್ ಕುದುರೆ
🏇🏼	ಕುದುರೆ ರೇಸಿಂಗ್, ಕುದುರೆ ರೇಸಿಂಗ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಜಾಕಿ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ರೇಸಿಂಗ್, ರೇಸಿಂಗ್ ಕುದುರೆ
🏇🏽	ಕುದುರೆ ರೇಸಿಂಗ್, ಕುದುರೆ ರೇಸಿಂಗ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಜಾಕಿ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ರೇಸಿಂಗ್, ರೇಸಿಂಗ್ ಕುದುರೆ
🏇🏾	ಕುದುರೆ ರೇಸಿಂಗ್, ಕುದುರೆ ರೇಸಿಂಗ್: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಜಾಕಿ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ರೇಸಿಂಗ್, ರೇಸಿಂಗ್ ಕುದುರೆ
🏇🏿	ಕುದುರೆ ರೇಸಿಂಗ್, ಕುದುರೆ ರೇಸಿಂಗ್: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಜಾಕಿ, ರೇಸಿಂಗ್, ರೇಸಿಂಗ್ ಕುದುರೆ
⛷️	ಸ್ಕೀ, ಸ್ಕೀಯರ್, ಹಿಮ
🏂️	ಸ್ಕೀ, ಸ್ನೋಬಾರ್ಡರ್, ಸ್ನೋಬೋರ್ಡ್, ಹಿಮ
🏂🏻	ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ಕೀ, ಸ್ನೋಬಾರ್ಡರ್, ಸ್ನೋಬಾರ್ಡರ್: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ನೋಬೋರ್ಡ್, ಹಿಮ
🏂🏼	ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ಕೀ, ಸ್ನೋಬಾರ್ಡರ್, ಸ್ನೋಬಾರ್ಡರ್: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ನೋಬೋರ್ಡ್, ಹಿಮ
🏂🏽	ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ಕೀ, ಸ್ನೋಬಾರ್ಡರ್, ಸ್ನೋಬಾರ್ಡರ್: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಸ್ನೋಬೋರ್ಡ್, ಹಿಮ
