😀	মুখ, হাঁহি, হাস্য মুখী
🧍🏿‍♀	ক’লা ছালৰ ৰং, ঠিয় হৈ থকা, ঠিয় হৈ থকা মহিলা, ঠিয় হৈ থকা মহিলা: ক’লা ছালৰ ৰং, মহিলা
🧎	আঁঠু কঢ়া, আঁঠু কাঢ়ি থকা অৱস্থা, আঠুকাঢ়ি থকা ব্যক্তি
🧎🏻	আঁঠু কঢ়া, আঁঠু কাঢ়ি থকা অৱস্থা, আঠুকাঢ়ি থকা ব্যক্তি, আঠুকাঢ়ি থকা ব্যক্তি: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং
🧎🏼	আঁঠু কঢ়া, আঁঠু কাঢ়ি থকা অৱস্থা, আঠুকাঢ়ি থকা ব্যক্তি, আঠুকাঢ়ি থকা ব্যক্তি: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং
🧎🏽	আঁঠু কঢ়া, আঁঠু কাঢ়ি থকা অৱস্থা, আঠুকাঢ়ি থকা ব্যক্তি, আঠুকাঢ়ি থকা ব্যক্তি: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং
🧎🏾	আঁঠু কঢ়া, আঁঠু কাঢ়ি থকা অৱস্থা, আঠুকাঢ়ি থকা ব্যক্তি, আঠুকাঢ়ি থকা ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং
🧎🏿	আঁঠু কঢ়া, আঁঠু কাঢ়ি থকা অৱস্থা, আঠুকাঢ়ি থকা ব্যক্তি, আঠুকাঢ়ি থকা ব্যক্তি: ক’লা ছালৰ ৰং, ক’লা ছালৰ ৰং
🧎‍♂	আঁঠু কাঢ়ি থকা অৱস্থা, আঁঠু কাঢ়ি থকা মানুহ, পুৰুষ
🧎🏻‍♂	আঁঠু কাঢ়ি থকা অৱস্থা, আঁঠু কাঢ়ি থকা মানুহ, আঁঠু কাঢ়ি থকা মানুহ: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, পুৰুষ
🧎🏼‍♂	আঁঠু কাঢ়ি থকা অৱস্থা, আঁঠু কাঢ়ি থকা মানুহ, আঁঠু কাঢ়ি থকা মানুহ: মধ্যমীয়া-পাতল ছালৰ ৰং, পুৰুষ, মধ্যমীয়া-পাতল ছালৰ ৰং
🧎🏽‍♂	আঁঠু কাঢ়ি থকা অৱস্থা, আঁঠু কাঢ়ি থকা মানুহ, আঁঠু কাঢ়ি থকা মানুহ: মধ্যমীয়া ছালৰ ৰং, পুৰুষ, মধ্যমীয়া ছালৰ ৰং
🧎🏾‍♂	আঁঠু কাঢ়ি থকা অৱস্থা, আঁঠু কাঢ়ি থকা মানুহ, আঁঠু কাঢ়ি থকা মানুহ: মধ্যমীয়া-ক’লা ছালৰ ৰং, পুৰুষ, মধ্যমীয়া-ক’লা ছালৰ ৰং
🧎🏿‍♂	আঁঠু কাঢ়ি থকা অৱস্থা, আঁঠু কাঢ়ি থকা মানুহ, আঁঠু কাঢ়ি থকা মানুহ: ক’লা ছালৰ ৰং, ক’লা ছালৰ ৰং, পুৰুষ
🧎‍♀	আঁঠু কাঢ়ি থকা অৱস্থা, আঁঠু কাঢ়ি থকা মহিলা, মহিলা
🧎🏻‍♀	আঁঠু কাঢ়ি থকা অৱস্থা, আঁঠু কাঢ়ি থকা মহিলা, আঁঠু কাঢ়ি থকা মহিলা: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, মহিলা
🧎🏼‍♀	আঁঠু কাঢ়ি থকা অৱস্থা, আঁঠু কাঢ়ি থকা মহিলা, আঁঠু কাঢ়ি থকা মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, মহিলা
🧎🏽‍♀	আঁঠু কাঢ়ি থকা অৱস্থা, আঁঠু কাঢ়ি থকা মহিলা, আঁঠু কাঢ়ি থকা মহিলা: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, মহিলা
🧎🏾‍♀	আঁঠু কাঢ়ি থকা অৱস্থা, আঁঠু কাঢ়ি থকা মহিলা, আঁঠু কাঢ়ি থকা মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, মহিলা
🧎🏿‍♀	আঁঠু কাঢ়ি থকা অৱস্থা, আঁঠু কাঢ়ি থকা মহিলা, আঁঠু কাঢ়ি থকা মহিলা: ক’লা ছালৰ ৰং, ক’লা ছালৰ ৰং, মহিলা
👨‍🦯	অন্ধ, দিব্যাংগ, পুৰুষ, হাতত বেতৰ লাখুটি লৈ থকা মানুহৰ ছবি
👨🏻‍🦯	অন্ধ, দিব্যাংগ, পাতল ছালৰ ৰং, পুৰুষ, হাতত বেতৰ লাখুটি লৈ থকা মানুহৰ ছবি, হাতত বেতৰ লাখুটি লৈ থকা মানুহৰ ছবি: পাতল ছালৰ ৰং
👨🏼‍🦯	অন্ধ, দিব্যাংগ, পুৰুষ, মধ্যমীয়া-পাতল ছালৰ ৰং, হাতত বেতৰ লাখুটি লৈ থকা মানুহৰ ছবি, হাতত বেতৰ লাখুটি লৈ থকা মানুহৰ ছবি: মধ্যমীয়া-পাতল ছালৰ ৰং
👨🏽‍🦯	অন্ধ, দিব্যাংগ, পুৰুষ, মধ্যমীয়া ছালৰ ৰং, হাতত বেতৰ লাখুটি লৈ থকা মানুহৰ ছবি, হাতত বেতৰ লাখুটি লৈ থকা মানুহৰ ছবি: মধ্যমীয়া ছালৰ ৰং
👨🏾‍🦯	অন্ধ, দিব্যাংগ, পুৰুষ, মধ্যমীয়া-ক’লা ছালৰ ৰং, হাতত বেতৰ লাখুটি লৈ থকা মানুহৰ ছবি, হাতত বেতৰ লাখুটি লৈ থকা মানুহৰ ছবি: মধ্যমীয়া-ক’লা ছালৰ ৰং
👨🏿‍🦯	অন্ধ, ক’লা ছালৰ ৰং, দিব্যাংগ, পুৰুষ, হাতত বেতৰ লাখুটি লৈ থকা মানুহৰ ছবি, হাতত বেতৰ লাখুটি লৈ থকা মানুহৰ ছবি: ক’লা ছালৰ ৰং
👩‍🦯	অন্ধ, দিব্যাংগ, মহিলা, হাতত বেতৰ লাখুটি লৈ থকা মহিলাৰ ছবি
👩🏻‍🦯	অন্ধ, দিব্যাংগ, পাতল ছালৰ ৰং, মহিলা, হাতত বেতৰ লাখুটি লৈ থকা মহিলাৰ ছবি, হাতত বেতৰ লাখুটি লৈ থকা মহিলাৰ ছবি: পাতল ছালৰ ৰং
👩🏼‍🦯	অন্ধ, দিব্যাংগ, মধ্যমীয়া-পাতল ছালৰ ৰং, মহিলা, হাতত বেতৰ লাখুটি লৈ থকা মহিলাৰ ছবি, হাতত বেতৰ লাখুটি লৈ থকা মহিলাৰ ছবি: মধ্যমীয়া-পাতল ছালৰ ৰং
👩🏽‍🦯	অন্ধ, দিব্যাংগ, মধ্যমীয়া ছালৰ ৰং, মহিলা, হাতত বেতৰ লাখুটি লৈ থকা মহিলাৰ ছবি, হাতত বেতৰ লাখুটি লৈ থকা মহিলাৰ ছবি: মধ্যমীয়া ছালৰ ৰং
👩🏾‍🦯	অন্ধ, দিব্যাংগ, মধ্যমীয়া-ক’লা ছালৰ ৰং, মহিলা, হাতত বেতৰ লাখুটি লৈ থকা মহিলাৰ ছবি, হাতত বেতৰ লাখুটি লৈ থকা মহিলাৰ ছবি: মধ্যমীয়া-ক’লা ছালৰ ৰং
👩🏿‍🦯	অন্ধ, ক’লা ছালৰ ৰং, দিব্যাংগ, মহিলা, হাতত বেতৰ লাখুটি লৈ থকা মহিলাৰ ছবি, হাতত বেতৰ লাখুটি লৈ থকা মহিলাৰ ছবি: ক’লা ছালৰ ৰং
👨‍🦼	দিব্যাংগ, পুৰুষ, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি, হুইলশ্বেয়াৰ
👨🏻‍🦼	দিব্যাংগ, পাতল ছালৰ ৰং, পুৰুষ, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: পাতল ছালৰ ৰং, হুইলশ্বেয়াৰ
👨🏼‍🦼	দিব্যাংগ, পুৰুষ, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, হুইলশ্বেয়াৰ
👨🏽‍🦼	দিব্যাংগ, পুৰুষ, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, হুইলশ্বেয়াৰ
👨🏾‍🦼	দিব্যাংগ, পুৰুষ, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, হুইলশ্বেয়াৰ
👨🏿‍🦼	ক’লা ছালৰ ৰং, দিব্যাংগ, পুৰুষ, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: ক’লা ছালৰ ৰং, হুইলশ্বেয়াৰ
👩‍🦼	দিব্যাংগ, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি, মহিলা, হুইলশ্বেয়াৰ
👩🏻‍🦼	দিব্যাংগ, পাতল ছালৰ ৰং, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: পাতল ছালৰ ৰং, মহিলা, হুইলশ্বেয়াৰ
👩🏼‍🦼	দিব্যাংগ, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, মহিলা, হুইলশ্বেয়াৰ
👩🏽‍🦼	দিব্যাংগ, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, মহিলা, হুইলশ্বেয়াৰ
👩🏾‍🦼	দিব্যাংগ, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, মহিলা, হুইলশ্বেয়াৰ
👩🏿‍🦼	ক’লা ছালৰ ৰং, দিব্যাংগ, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি, মটৰ চালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: ক’লা ছালৰ ৰং, মহিলা, হুইলশ্বেয়াৰ
👨‍🦽	দিব্যাংগ, পুৰুষ, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি, হুইলশ্বেয়াৰ
👨🏻‍🦽	দিব্যাংগ, পাতল ছালৰ ৰং, পুৰুষ, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: পাতল ছালৰ ৰং, হুইলশ্বেয়াৰ
👨🏼‍🦽	দিব্যাংগ, পুৰুষ, মধ্যমীয়া-পাতল ছালৰ ৰং, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: মধ্যমীয়া-পাতল ছালৰ ৰং, হুইলশ্বেয়াৰ
👨🏽‍🦽	দিব্যাংগ, পুৰুষ, মধ্যমীয়া ছালৰ ৰং, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: মধ্যমীয়া ছালৰ ৰং, হুইলশ্বেয়াৰ
👨🏾‍🦽	দিব্যাংগ, পুৰুষ, মধ্যমীয়া-ক’লা ছালৰ ৰং, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: মধ্যমীয়া-ক’লা ছালৰ ৰং, হুইলশ্বেয়াৰ
👨🏿‍🦽	ক’লা ছালৰ ৰং, দিব্যাংগ, পুৰুষ, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মানুহৰ ছবি: ক’লা ছালৰ ৰং, হুইলশ্বেয়াৰ
👩‍🦽	দিব্যাংগ, মহিলা, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি, হুইলশ্বেয়াৰ
👩🏻‍🦽	দিব্যাংগ, পাতল ছালৰ ৰং, মহিলা, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: পাতল ছালৰ ৰং, হুইলশ্বেয়াৰ
👩🏼‍🦽	দিব্যাংগ, মধ্যমীয়া-পাতল ছালৰ ৰং, মহিলা, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: মধ্যমীয়া-পাতল ছালৰ ৰং, হুইলশ্বেয়াৰ
👩🏽‍🦽	দিব্যাংগ, মধ্যমীয়া ছালৰ ৰং, মহিলা, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: মধ্যমীয়া ছালৰ ৰং, হুইলশ্বেয়াৰ
👩🏾‍🦽	দিব্যাংগ, মধ্যমীয়া-ক’লা ছালৰ ৰং, মহিলা, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: মধ্যমীয়া-ক’লা ছালৰ ৰং, হুইলশ্বেয়াৰ
👩🏿‍🦽	ক’লা ছালৰ ৰং, দিব্যাংগ, মহিলা, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি, হস্তচালিত হুইলশ্বেয়াৰত বহি থকা মহিলাৰ ছবি: ক’লা ছালৰ ৰং, হুইলশ্বেয়াৰ
🏃	দৌৰা, দৌৰি থকা ব্যক্তি, মাৰাথন
🏃🏻	দৌৰা, দৌৰি থকা ব্যক্তি, দৌৰি থকা ব্যক্তি: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, মাৰাথন
🏃🏼	দৌৰা, দৌৰি থকা ব্যক্তি, দৌৰি থকা ব্যক্তি: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, মাৰাথন
🏃🏽	দৌৰা, দৌৰি থকা ব্যক্তি, দৌৰি থকা ব্যক্তি: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, মাৰাথন
🏃🏾	দৌৰা, দৌৰি থকা ব্যক্তি, দৌৰি থকা ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, মাৰাথন
🏃🏿	ক’লা ছালৰ ৰং, দৌৰা, দৌৰি থকা ব্যক্তি, দৌৰি থকা ব্যক্তি: ক’লা ছালৰ ৰং, মাৰাথন
🏃‍♂	দৌৰা, দৌৰি থকা পুৰুষ, পুৰুষ, মাৰাথন, ৰেচিং
🏃🏻‍♂	দৌৰা, দৌৰি থকা পুৰুষ, দৌৰি থকা পুৰুষ: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, পুৰুষ, মাৰাথন, ৰেচিং
🏃🏼‍♂	দৌৰা, দৌৰি থকা পুৰুষ, দৌৰি থকা পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং, পুৰুষ, মধ্যমীয়া-পাতল ছালৰ ৰং, মাৰাথন, ৰেচিং
🏃🏽‍♂	দৌৰা, দৌৰি থকা পুৰুষ, দৌৰি থকা পুৰুষ: মধ্যমীয়া ছালৰ ৰং, পুৰুষ, মধ্যমীয়া ছালৰ ৰং, মাৰাথন, ৰেচিং
🏃🏾‍♂	দৌৰা, দৌৰি থকা পুৰুষ, দৌৰি থকা পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং, পুৰুষ, মধ্যমীয়া-ক’লা ছালৰ ৰং, মাৰাথন, ৰেচিং
🏃🏿‍♂	ক’লা ছালৰ ৰং, দৌৰা, দৌৰি থকা পুৰুষ, দৌৰি থকা পুৰুষ: ক’লা ছালৰ ৰং, পুৰুষ, মাৰাথন, ৰেচিং
🏃‍♀	দৌৰা, দৌৰি থকা মহিলা, মহিলা, মাৰাথন, ৰেচিং
🏃🏻‍♀	দৌৰা, দৌৰি থকা মহিলা, দৌৰি থকা মহিলা: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, মহিলা, মাৰাথন, ৰেচিং
🏃🏼‍♀	দৌৰা, দৌৰি থকা মহিলা, দৌৰি থকা মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং, মহিলা, মাৰাথন, ৰেচিং
🏃🏽‍♀	দৌৰা, দৌৰি থকা মহিলা, দৌৰি থকা মহিলা: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং, মহিলা, মাৰাথন, ৰেচিং
🏃🏾‍♀	দৌৰা, দৌৰি থকা মহিলা, দৌৰি থকা মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং, মহিলা, মাৰাথন, ৰেচিং
🏃🏿‍♀	ক’লা ছালৰ ৰং, দৌৰা, দৌৰি থকা মহিলা, দৌৰি থকা মহিলা: ক’লা ছালৰ ৰং, মহিলা, মাৰাথন, ৰেচিং
💃	নাচি থকা মহিলা, নৃত্য, মহিলা
💃🏻	নাচি থকা মহিলা, নাচি থকা মহিলা: পাতল ছালৰ ৰং, নৃত্য, পাতল ছালৰ ৰং, মহিলা
💃🏼	নাচি থকা মহিলা, নাচি থকা মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং, নৃত্য, মধ্যমীয়া-পাতল ছালৰ ৰং, মহিলা
💃🏽	নাচি থকা মহিলা, নাচি থকা মহিলা: মধ্যমীয়া ছালৰ ৰং, নৃত্য, মধ্যমীয়া ছালৰ ৰং, মহিলা
💃🏾	নাচি থকা মহিলা, নাচি থকা মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং, নৃত্য, মধ্যমীয়া-ক’লা ছালৰ ৰং, মহিলা
💃🏿	ক’লা ছালৰ ৰং, নাচি থকা মহিলা, নাচি থকা মহিলা: ক’লা ছালৰ ৰং, নৃত্য, মহিলা
🕺	নাচি থকা পুৰুষ, নৃত্য, পুৰুষ
🕺🏻	নাচি থকা পুৰুষ, নাচি থকা পুৰুষ: পাতল ছালৰ ৰং, নৃত্য, পাতল ছালৰ ৰং, পুৰুষ
🕺🏼	নাচি থকা পুৰুষ, নাচি থকা পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং, নৃত্য, পুৰুষ, মধ্যমীয়া-পাতল ছালৰ ৰং
🕺🏽	নাচি থকা পুৰুষ, নাচি থকা পুৰুষ: মধ্যমীয়া ছালৰ ৰং, নৃত্য, পুৰুষ, মধ্যমীয়া ছালৰ ৰং
🕺🏾	নাচি থকা পুৰুষ, নাচি থকা পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং, নৃত্য, পুৰুষ, মধ্যমীয়া-ক’লা ছালৰ ৰং
🕺🏿	ক’লা ছালৰ ৰং, নাচি থকা পুৰুষ, নাচি থকা পুৰুষ: ক’লা ছালৰ ৰং, নৃত্য, পুৰুষ
🕴️	চুট, চুট পৰিহিত পুৰুষ, পুৰুষ, ব্যৱসায়
🕴🏻	চুট, চুট পৰিহিত পুৰুষ, চুট পৰিহিত পুৰুষ: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং, পুৰুষ, ব্যৱসায়
🕴🏼	চুট, চুট পৰিহিত পুৰুষ, চুট পৰিহিত পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং, পুৰুষ, ব্যৱসায়, মধ্যমীয়া-পাতল ছালৰ ৰং
🕴🏽	চুট, চুট পৰিহিত পুৰুষ, চুট পৰিহিত পুৰুষ: মধ্যমীয়া ছালৰ ৰং, পুৰুষ, ব্যৱসায়, মধ্যমীয়া ছালৰ ৰং
🕴🏾	চুট, চুট পৰিহিত পুৰুষ, চুট পৰিহিত পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং, পুৰুষ, ব্যৱসায়, মধ্যমীয়া-ক’লা ছালৰ ৰং
🕴🏿	ক’লা ছালৰ ৰং, চুট, চুট পৰিহিত পুৰুষ, চুট পৰিহিত পুৰুষ: ক’লা ছালৰ ৰং, পুৰুষ, ব্যৱসায়
👯	নৰ্তকী, পাৰ্টি কৰি থকা, শহাপহুৰ কাণ, শহাপহুৰ কাণৰ ব্যক্তি
👯‍♂	নৰ্তকী, পাৰ্টি কৰি থকা, পুৰুষ, শহাপহুৰ কাণ, শহাপহুৰ কাণৰ পুৰুষ
👯‍♀	নৰ্তকী, পাৰ্টি কৰি থকা, মহিলা, শহাপহুৰ কাণ, শহাপহুৰ কাণৰ মহিলা
🧖	চ’না, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা ব্যক্তি
🧖🏻	চ’না, পাতল ছালৰ ৰং, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা ব্যক্তি, বাষ্পৰ কোঠাত থকা ব্যক্তি: পাতল ছালৰ ৰং
🧖🏼	চ’না, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা ব্যক্তি, বাষ্পৰ কোঠাত থকা ব্যক্তি: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং
🧖🏽	চ’না, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা ব্যক্তি, বাষ্পৰ কোঠাত থকা ব্যক্তি: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং
🧖🏾	চ’না, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা ব্যক্তি, বাষ্পৰ কোঠাত থকা ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং
🧖🏿	ক’লা ছালৰ ৰং, চ’না, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা ব্যক্তি, বাষ্পৰ কোঠাত থকা ব্যক্তি: ক’লা ছালৰ ৰং
🧖‍♂	চ’না, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা পুৰুষ
🧖🏻‍♂	চ’না, পাতল ছালৰ ৰং, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা পুৰুষ, বাষ্পৰ কোঠাত থকা পুৰুষ: পাতল ছালৰ ৰং
🧖🏼‍♂	চ’না, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা পুৰুষ, বাষ্পৰ কোঠাত থকা পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং
🧖🏽‍♂	চ’না, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা পুৰুষ, বাষ্পৰ কোঠাত থকা পুৰুষ: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং
🧖🏾‍♂	চ’না, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা পুৰুষ, বাষ্পৰ কোঠাত থকা পুৰুষ: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং
🧖🏿‍♂	ক’লা ছালৰ ৰং, চ’না, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা পুৰুষ, বাষ্পৰ কোঠাত থকা পুৰুষ: ক’লা ছালৰ ৰং
🧖‍♀	চ’না, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা মহিলা
🧖🏻‍♀	চ’না, পাতল ছালৰ ৰং, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা মহিলা, বাষ্পৰ কোঠাত থকা মহিলা: পাতল ছালৰ ৰং
🧖🏼‍♀	চ’না, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা মহিলা, বাষ্পৰ কোঠাত থকা মহিলা: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং
🧖🏽‍♀	চ’না, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা মহিলা, বাষ্পৰ কোঠাত থকা মহিলা: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং
🧖🏾‍♀	চ’না, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা মহিলা, বাষ্পৰ কোঠাত থকা মহিলা: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং
🧖🏿‍♀	ক’লা ছালৰ ৰং, চ’না, বাষ্পৰ কোঠা, বাষ্পৰ কোঠাত থকা মহিলা, বাষ্পৰ কোঠাত থকা মহিলা: ক’লা ছালৰ ৰং
🧗	আৰোহক, আৰোহণ কৰা ব্যক্তি
🧗🏻	আৰোহক, আৰোহণ কৰা ব্যক্তি, আৰোহণ কৰা ব্যক্তি: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং
🧗🏼	আৰোহক, আৰোহণ কৰা ব্যক্তি, আৰোহণ কৰা ব্যক্তি: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং
🧗🏽	আৰোহক, আৰোহণ কৰা ব্যক্তি, আৰোহণ কৰা ব্যক্তি: মধ্যমীয়া ছালৰ ৰং, মধ্যমীয়া ছালৰ ৰং
🧗🏾	আৰোহক, আৰোহণ কৰা ব্যক্তি, আৰোহণ কৰা ব্যক্তি: মধ্যমীয়া-ক’লা ছালৰ ৰং, মধ্যমীয়া-ক’লা ছালৰ ৰং
🧗🏿	আৰোহক, আৰোহণ কৰা ব্যক্তি, আৰোহণ কৰা ব্যক্তি: ক’লা ছালৰ ৰং, ক’লা ছালৰ ৰং
🧗‍♂	আৰোহক, আৰোহণ কৰা পুৰুষ
🧗🏻‍♂	আৰোহক, আৰোহণ কৰা পুৰুষ, আৰোহণ কৰা পুৰুষ: পাতল ছালৰ ৰং, পাতল ছালৰ ৰং
🧗🏼‍♂	আৰোহক, আৰোহণ কৰা পুৰুষ, আৰোহণ কৰা পুৰুষ: মধ্যমীয়া-পাতল ছালৰ ৰং, মধ্যমীয়া-পাতল ছালৰ ৰং
